Contextual_features,feature_number,score,values
Band_43,41,-3.6202028450553763,3.6202028450553763
Band_44,42,3.3804673235843947,3.3804673235843947
Band_51,49,-3.1299514744728665,3.1299514744728665
Band_33,31,-2.999807225651005,2.999807225651005
Band_18,17,-2.9757428241413537,2.9757428241413537
Band_48,46,2.7190464253967845,2.7190464253967845
Band_34,32,-2.544883828407636,2.544883828407636
Band_17,16,-2.5287361022846624,2.5287361022846624
Band_40,38,-2.5044369156833444,2.5044369156833444
Band_13,12,1.8112331337889565,1.8112331337889565
Band_42,40,-1.7494339237706882,1.7494339237706882
Band_23,22,1.642587673125465,1.642587673125465
Band_12,11,1.5583045414100876,1.5583045414100876
Band_21,20,-1.4941304665175175,1.4941304665175175
Band_1,0,1.4498456420789887,1.4498456420789887
Band_54,52,-1.2896174895338548,1.2896174895338548
Band_27,26,1.2293107627935813,1.2293107627935813
Band_50,48,1.2034921883519247,1.2034921883519247
Band_10,9,-0.9688398248543342,0.9688398248543342
Band_56,54,0.9456442819051123,0.9456442819051123
Band_11,10,-0.939777259253448,0.939777259253448
Band_39,37,-0.9041505251172015,0.9041505251172015
Band_41,39,0.777929997883598,0.777929997883598
Band_2,1,0.754423240383954,0.754423240383954
Band_52,50,0.73638857981053,0.73638857981053
Band_31,29,-0.7091199928564723,0.7091199928564723
Band_47,45,-0.6640810474314051,0.6640810474314051
Band_38,36,0.6424129286610243,0.6424129286610243
Band_4,3,0.58408464297235,0.58408464297235
Band_9,8,-0.5509754872671214,0.5509754872671214
Band_3,2,0.5430306888934597,0.5430306888934597
Band_32,30,0.47292931836554686,0.47292931836554686
Band_25,24,0.4426651882186425,0.4426651882186425
Band_58,56,-0.4405655091054964,0.4405655091054964
Band_8,7,0.4034284625825659,0.4034284625825659
Band_53,51,-0.357707325199951,0.357707325199951
Band_20,19,-0.33308733617008207,0.33308733617008207
Band_49,47,0.3019762351933253,0.3019762351933253
Band_7,6,0.30111795723058465,0.30111795723058465
Band_24,23,0.2603886952886908,0.2603886952886908
Band_59,57,-0.23530109702096355,0.23530109702096355
Band_6,5,-0.23400413771388892,0.23400413771388892
Band_30,28,-0.21846275045816388,0.21846275045816388
Band_57,55,-0.15981095777473928,0.15981095777473928
Band_35,33,0.1514296442416364,0.1514296442416364
Band_37,35,-0.1401946716669768,0.1401946716669768
Band_16,15,0.13849813254272275,0.13849813254272275
Band_55,53,0.12091334760237138,0.12091334760237138
Band_14,13,-0.108632739292644,0.108632739292644
Band_15,14,-0.09938951742506663,0.09938951742506663
Band_36,34,0.06905037409870171,0.06905037409870171
Band_5,4,-0.051655790996808996,0.051655790996808996
Band_29,27,-0.04735849411913372,0.04735849411913372
Band_60,58,-0.044092248848588915,0.044092248848588915
Band_46,44,0.04376236524175802,0.04376236524175802
Band_22,21,-0.03391938369513531,0.03391938369513531
Band_61,59,-0.0036092829908949734,0.0036092829908949734
Band_45,43,0.0,0.0
Band_19,18,0.0,0.0
Band_26,25,0.0,0.0
