,Values
gabor_sc7_filter_13,0.5908373917045834
ndvi_sc3_mean,0.04758333808138676
gabor_sc7_filter_14,0.034551892877492385
hog_sc5_max,0.023422784167340834
lsr_sc51_line_mean,0.01884420838170989
ndvi_sc5_mean,0.016914895486523078
hog_sc7_max,0.013442574123970243
hog_sc7_kurtosis,0.011833514859068008
sfs_sc31_w_mean,0.011656000801619933
hog_sc7_mean,0.010450861867952618
lbpm_sc7_max,0.009398972204384789
sfs_sc71_max_ratio_of_orthogonal_angles,0.009271030176091927
gabor_sc3_filter_14,0.008106028759859045
mean_sc5_variance,0.007419146382592706
fourier_sc31_variance,0.0073929579999422925
lbpm_sc3_mean,0.006796855298984667
lsr_sc71_line_mean,0.006640435036662319
sfs_sc51_w_mean,0.006099989271572733
sfs_sc71_min_line_length,0.005651053491992282
ndvi_sc5_variance,0.00545722785552046
lac_sc3_lac,0.005428136919719657
ndvi_sc7_mean,0.005404184098090263
lsr_sc71_line_length,0.005272465608642605
ndvi_sc7_variance,0.004420650432911883
lbpm_sc5_mean,0.004235595251267282
fourier_sc71_variance,0.004232910412948018
sfs_sc51_max_line_length,0.003854885175637411
sfs_sc51_std,0.0038415419531604277
lsr_sc31_line_contrast,0.0034596226792185524
gabor_sc7_mean,0.003406164746175663
gabor_sc3_filter_6,0.003135494856259037
lbpm_sc7_skew,0.003083878557372861
sfs_sc51_mean,0.0027807214329910518
fourier_sc51_mean,0.0027530241395906665
lsr_sc71_line_contrast,0.002741203608106838
fourier_sc71_mean,0.002717158564326252
hog_sc5_kurtosis,0.0026851716515932642
lbpm_sc7_kurtosis,0.0026739508892474582
lsr_sc51_line_length,0.0026542929732237793
lsr_sc31_line_mean,0.0026158861674167523
hog_sc5_variance,0.00254158308477905
sfs_sc31_std,0.0025108707736657865
gabor_sc5_filter_14,0.0024689911388603948
sfs_sc71_std,0.0024420063124124614
ndvi_sc3_variance,0.002399649743197771
sfs_sc71_w_mean,0.002393812896438977
lbpm_sc3_kurtosis,0.002193831795829681
pantex_sc5_min,0.0021133569496512737
sfs_sc51_max_ratio_of_orthogonal_angles,0.0020785922880681798
lbpm_sc5_variance,0.002017651492373665
hog_sc7_skew,0.0020139684719377654
lac_sc7_lac,0.001992649982273862
hog_sc5_mean,0.0017783407567701353
orb_sc71_variance,0.0017626957609102134
gabor_sc7_variance,0.0017508732610696893
sfs_sc31_mean,0.0017356395303064814
lbpm_sc5_kurtosis,0.0014013805341218568
gabor_sc3_variance,0.0013645848497446148
sfs_sc31_max_line_length,0.0013061695088548253
orb_sc71_mean,0.001262105937203658
fourier_sc51_variance,0.0012124679057550851
sfs_sc71_max_line_length,0.0012016206249274985
gabor_sc3_filter_8,0.001144688520864766
sfs_sc31_max_ratio_of_orthogonal_angles,0.0011284407914980102
hog_sc5_skew,0.0011242600896690677
lbpm_sc7_variance,0.0011121559369028694
lbpm_sc3_variance,0.001111690498873957
hog_sc3_mean,0.001084933870716486
lbpm_sc5_max,0.001070257030799858
lac_sc5_lac,0.0009581561294057053
gabor_sc3_filter_10,0.0009352429652230013
orb_sc51_variance,0.0008885706232182332
fourier_sc31_mean,0.0008761369743844792
gabor_sc3_filter_1,0.0008692498693530343
hog_sc3_variance,0.000821451876911123
gabor_sc7_filter_12,0.0008176430514724781
lbpm_sc5_skew,0.0008159041215127575
sfs_sc31_min_line_length,0.0008138265339347208
pantex_sc7_min,0.0008137957311258808
gabor_sc7_filter_11,0.0008119405834525926
sfs_sc71_mean,0.0007725455588682642
lsr_sc31_line_length,0.0007303695795139401
hog_sc3_max,0.0006933995180472844
gabor_sc7_filter_8,0.000681346785895842
gabor_sc3_filter_12,0.0006553704074996751
gabor_sc5_filter_6,0.0006063234556790057
gabor_sc7_filter_9,0.0006022807237025759
sfs_sc51_min_line_length,0.0005776917290687432
gabor_sc7_filter_4,0.0005703246706009784
lbpm_sc7_mean,0.0005204409469481496
hog_sc3_kurtosis,0.0005192652457139821
gabor_sc5_filter_11,0.0005093982180326259
gabor_sc5_filter_13,0.0005042270718130457
gabor_sc5_filter_8,0.0005017388947716662
mean_sc5_mean,0.0005001617730135594
lbpm_sc3_max,0.0004831152798466355
gabor_sc5_variance,0.00047387459757873714
orb_sc71_kurtosis,0.0004514280948828426
gabor_sc5_filter_5,0.0004038674918051674
mean_sc3_mean,0.00040068735195017364
gabor_sc5_filter_3,0.00039859724294232543
lbpm_sc3_skew,0.00038909593616332985
pantex_sc3_min,0.00038715260455729716
hog_sc3_skew,0.0003837503602169141
orb_sc71_max,0.00032830518688678153
orb_sc31_skew,0.00031969783499031775
hog_sc7_variance,0.00031752080346133095
gabor_sc3_filter_2,0.0003033577658123914
lsr_sc51_line_contrast,0.0003033332839331621
gabor_sc5_filter_7,0.0002884767798608339
gabor_sc7_filter_7,0.00028559201206222555
gabor_sc7_filter_1,0.00028475545659831675
gabor_sc3_filter_13,0.00024635917000115213
mean_sc3_variance,0.0002436513271133823
mean_sc7_mean,0.00020846689650531457
gabor_sc3_filter_5,0.00016302104874840636
gabor_sc7_filter_2,0.00014927899042420096
gabor_sc5_mean,0.00014135362213180857
gabor_sc3_filter_9,0.00013981312027295197
mean_sc7_variance,0.000136305278484244
gabor_sc7_filter_5,0.0001323127854428076
orb_sc31_kurtosis,0.00012067906141191913
gabor_sc5_filter_9,0.00011824517399836342
orb_sc31_mean,0.00011771207929565462
gabor_sc3_mean,0.00011539071194433358
orb_sc51_max,0.00011085433532916025
gabor_sc7_filter_3,0.00010833905732551292
gabor_sc5_filter_4,8.077349836103349e-05
gabor_sc3_filter_7,8.077349836103349e-05
orb_sc51_kurtosis,6.058012377077511e-05
gabor_sc3_filter_11,2.85082935391885e-05
orb_sc31_max,2.7765890061605256e-05
orb_sc71_skew,1.3035629136903886e-05
orb_sc51_mean,0.0
gabor_sc7_filter_6,0.0
orb_sc51_skew,0.0
gabor_sc7_filter_10,0.0
gabor_sc5_filter_2,0.0
gabor_sc5_filter_12,0.0
gabor_sc5_filter_10,0.0
gabor_sc5_filter_1,0.0
gabor_sc3_filter_4,0.0
gabor_sc3_filter_3,0.0
orb_sc31_variance,0.0
